name|emails|project
alice_jones|alice@example.com,ajones@corp.net|alpha
bob_smith|bob.smith@example.com|beta
carol_wu|carol@example.com,cwu@startup.io,carol.wu@gmail.com|alpha
dan_garcia|dgarcia@example.com|gamma
emma_chen|emma.chen@example.com,echen@corp.net|beta
frank_lee|frank@example.com|alpha
grace_kim|gkim@example.com,grace.kim@corp.net|delta
hank_patel|hank.patel@example.com|gamma
iris_novak|iris@example.com,inovak@startup.io|beta
jack_taylor|jtaylor@example.com|alpha
kate_brown|kate.brown@example.com,kbrown@corp.net,kate@freelance.dev|delta
leo_martinez|leo@example.com|gamma
mia_johnson|mia.j@example.com,mjohnson@corp.net|beta
nate_wilson|nwilson@example.com|alpha
olivia_reed|olivia@example.com,oreed@startup.io|delta
paul_davis|paul.davis@example.com|gamma
quinn_thomas|quinn@example.com,qthomas@corp.net|beta
rachel_wang|rwang@example.com,rachel.wang@corp.net,rwang@freelance.dev|alpha
sam_harris|sam@example.com|delta
tina_clark|tina.clark@example.com,tclark@startup.io|gamma
uma_foster|uma@example.com,ufoster@corp.net|alpha
victor_diaz|vdiaz@example.com|delta
wendy_park|wendy.park@example.com,wpark@startup.io,wendy@freelance.dev|beta
xander_ross|xross@example.com,xander@corp.net|gamma
yara_singh|yara.singh@example.com|alpha
zane_miller|zmiller@example.com,zane.miller@startup.io|delta
john_doe|jdoe@example.com|gamma
